variable_name,form_name,field_label,field_type,value_encoding,n_codes,cde_concept_name,cde_vocabulary,cde_concept_code,cde_domain,mapping_confidence
mhoccur_mi,health_survey,Heart attack,radio,1=Yes|0=No|777=Prefer not to say,3,Ever told by doctor that you had a myocardial infarction or heart attack,LOINC,58338-5,Observation,1
mhoccur_strk,health_survey,Stroke,radio,1=Yes|0=No|777=Prefer not to say,3,Have you ever been told by a physician that you had a stroke [PhenX],LOINC,65718-9,Observation,1
cm_slp,meds_assessment,Have you taken sleeping pills in the past 2 weeks?,radio,0=No|1=Every day|2=A few days (<1 day/week)|3=Some days (1-2 days/week)|4=Most days (3-4 days/week)|99=Don't know/not sure|777=Decline to answer,7,,,,,
pxne10,px_neighborhood_environment_survey,There are many interesting things to look at while walking in my neighborhood. Would you say you...,radio,1=Strongly disagree|2=Somewhat disagree|3=Somewhat agree|4=Strongly agree|555=Don't know/Not sure|777=Prefer not to say,6,,PhenX,,,
diet1,dietary_survey,How many times a week did you eat fast food meals or snacks?,radio,0=Less than 1 time|1=1 - 3 times|2=4 or more times|777=Prefer not to say,4,How many times a week did you eat fast food or snacks or pizza in past 7 days [SAMHSA],LOINC,68510-7,Observation,1
cmdosu,current_medications,"Unit (Record the dose unit of the dose of concomitant medication/treatment/therapy taken (e.g., mg.)).",dropdown,1=Percent Volume per Volume|2=Capsule|3=Gram|4=Inhalation|5=International Dosing Unit|6=Liter per Hour|7=Liter per Minute|8=Milligram|9=Milligram per Kilogram|10=Milliliter|11=Milliliter per Hour|12=Milliliter per Kilogram|13=Puff|14=Spray|15=Tablet|16=Microgram|17=Microgram per Kilogram|18=Other,18,,,,,
scrsexot,screening_survey,Other (please specify),text,,,Other (specify),LOINC,LA6310-2,Meas Value,1
dmlhex,diabetes_survey,"How often would you say that you engage in daily home exercise? (Examples: stretching, calisthenics, or yoga)",radio,10=Doing daily or almost daily|5=Irregular; once or twice a week|0=Rarely or none|777=Prefer not to say,4,Home exercise program,SNOMED,229075007,Observation,0.75
race2,screening_survey,Which one of these groups would you say best represents your race?,radio,"C17459=American Indian or Alaska Native|C41260=Asian|C16352=Black or African American|C77820=Middle Eastern|C41219=Native Hawaiian or other Pacific Islander|C77813=North African|C41261=White or Caucasian|888=Other race, ethnicity or origin|777=Prefer not to say",9,Race,LOINC,32624-9,Observation,1
pxrdcmpdat,px_racial_ethnic_discrimination_survey,PhenX Racial/Ethnic Discrimination survey date,text,,,Performed on (specify date),LOINC,LA30233-3,Meas Value,0.75
susmkncf,substance_use_survey,Have you smoked at least 100 cigarettes or more in your lifetime?  (100 cigarettes = 5 packs),radio,1=Yes|0=No|777=Prefer not to say,3,Smoked at least 100 cigarettes in entire life,LOINC,63581-3,Observation,1
suvpkncf1,substance_use_survey,Have you ever vaped or used e-cigarettes?,radio,1=Yes|0=No|777=Prefer not to say,3,Electronic cigarette smoker,SNOMED,OMOP5181836,Observation,0.25
sualcdrv,substance_use_survey,"Do you drive after having a drink, even if it is only one drink?",radio,0=Never|1=Rarely|2=Sometimes|3=Often|4=Always|777=Prefer not to say,6,Risk control behavior: alcohol use,SNOMED,405137009,Observation,0.25
dmlstartts,diabetes_survey,Diabetes Survey Started Timestamp (from REDCap),text,,,Time to complete survey,LOINC,99423-6,Observation,0.5
pulse_vsorres,physical_assessment,Heart Rate (bpm),text,,,Heart rate,SNOMED,364075005,Measurement,1
pxne13,px_neighborhood_environment_survey,"The sidewalks in my neighborhood are well maintained (paved, with few cracks) and not obstructed. Would you say that you...",radio,1=Strongly disagree|2=Somewhat disagree|3=Somewhat agree|4=Strongly agree|555=Don't know/Not sure|777=Prefer not to say,6,,PhenX,,,
diet2,dietary_survey,How many servings of fruit did you eat each day?,radio,0=5 or more|1=4-Mar|2=2 or less|777=Prefer not to say,4,Fruit servings 24 hour Estimated,LOINC,80457-5,Observation,1
cmname,current_medications,Medication Name,text,,,Medication,LOINC,LA22650-8,Meas Value,1
