Survey,Version,Item Concept,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Field Annotation,Generalized Answer Codes,Registered Tier Rules,Controlled Tier Rules
Family Health History,,circulatorycondition_coronaryarteryheartdisease_yes,family_health_history,,checkbox,Who in your family has had coronary artery/coronary heart disease (includes angina)? Select all that apply.,"MotherCirculatoryCondition_CoronaryArteryHeartDisease, Mother | FatherCirculatoryCondition_CoronaryArteryHeartDisease, Father | SiblingCirculatoryCondition_CoronaryArteryHeartDisease, Sibling | DaughterCirculatoryCondition_CoronaryArteryHeartDisease, Daughter | SonCirculatoryCondition_CoronaryArteryHeartDisease, Son | GrandparentCirculatoryCondition_CoronaryArteryHeartDisease, Grandparent",,,,[diagnosedhealthcondition_circulatorycondition(CirculatoryCondition_CoronaryArteryHeartDisease)] = '1',,,"circulatorycondition_coronaryarteryheartdisease_yes=CirculatoryCondition_CoronaryArteryHeartDisease_y,
MotherCirculatoryCondition_CoronaryArteryHeartDisease=MotherCirculatoryCondition_CoronaryArteryHeart,
FatherCirculatoryCondition_CoronaryArteryHeartDisease=FatherCirculatoryCondition_CoronaryArteryHeart,
SiblingCirculatoryCondition_CoronaryArteryHeartDisease=SiblingCirculatoryCondition_CoronaryArteryHeart,
DaughterCirculatoryCondition_CoronaryArteryHeartDisease=DaughterCirculatoryCondition_CoronaryArteryHeart,
GrandparentCirculatoryCondition_CoronaryArteryHeartDisease=GrandparentCirculatoryCondition_CoroArteryHeart",,,
Personal Medical History,,circulatory_rxmedsforstroke,personal_medical_history,,radio,Are you currently prescribed medications and/or receiving treatment for a stroke?,"RxMedsforStroke_Yes, Yes | RxMedsforStroke_No, No",,,,[circulatory_circulatoryconditions(CirculatoryConditions_Stroke)] = '1',,,,,,
Family Health History,,cancercondition_bloodcancer_yes,family_health_history,,checkbox,Who in your family has had blood or soft tissue cancer? Select all that apply.,"MotherCancerCondition_BloodCancer, Mother | FatherCancerCondition_BloodCancer, Father | SiblingCancerCondition_BloodCancer, Sibling | DaughterCancerCondition_BloodCancer, Daughter | SonCancerCondition_BloodCancer, Son | GrandparentCancerCondition_BloodCancer, Grandparent",,,,[diagnosedhealthcondition_cancercondition(CancerCondition_BloodCancer)] = '1',,,,,,
Personal Medical History,,respiratory_rxmedsforasthma,personal_medical_history,,radio,Are you currently prescribed medications and/or receiving treatment for asthma?,"RxMedsforAsthma_Yes, Yes | RxMedsforAsthma_No, No",,,,[respiratory_respiratoryconditions(RespiratoryConditions_Asthma)] = '1',,,,,,
Personal Medical History,,mentalhealth_howoldwereyoudepression,personal_medical_history,,radio,About how old were you when you were first told you had depression?,"HowOldWereYouDepression_Child, Child (0-11) | HowOldWereYouDepression_Adolescent, Adolescent (12-17) | HowOldWereYouDepression_Adult, Adult (18-64) | HowOldWereYouDepression_OlderAdult, Older adult (65-74) | HowOldWereYouDepression_Elderly, Elderly (75+)",,,,[mentalhealth_mentalhealthcondition(MentalHealthCondition_Depression)] = '1',,,,,,
Personal Medical History,,mentalhealth_rxmedsforanxiety,personal_medical_history,,radio,Are you currently prescribed medications and/or receiving treatment for anxiety reaction/panic disorder?,"RxMedsforAnxiety_Yes, Yes | RxMedsforAnxiety_No, No",,,,[mentalhealth_mentalhealthcondition(MentalHealthCondition_Anxiety)] = '1',,,,,,
Personal Medical History,,othermentalhealthsubstanceuse_freetextbox,personal_medical_history,,text,Please specify other mental health or substance use condition.,,,,,[mentalhealth_mentalhealthcondition(MentalHealthCondition_OtherMentalHealthSubstanceUse)] = '1',,,REGISTERED_QUESTION_SUPPRESSED,,REGISTERED_QUESTION_SUPPRESSED,CONTROLLED_QUESTION_SUPPRESSED
Personal Medical History,,respiratory_howoldwereyousleepapnea,personal_medical_history,,radio,About how old were you when you were first told you had sleep apnea?,"HowOldWereYouSleepApnea_Child, Child (0-11) | HowOldWereYouSleepApnea_Adolescent, Adolescent (12-17) | HowOldWereYouSleepApnea_Adult, Adult (18-64) | HowOldWereYouSleepApnea_OlderAdult, Older adult (65-74) | HowOldWereYouSleepApnea_Elderly, Elderly (75+)",,,,[respiratory_respiratoryconditions(RespiratoryConditions_SleepApnea)] = '1',,,,,,
Social Determinants of Health,,ips_1,social_determinants_of_health_english,The next questions ask about what is in your neighborhood. Think about the area around your home that you can walk to in 10-15 minutes.,radio,What is the main type of housing in your neighborhood?,"SDOH_10, Detached single-family housing | SDOH_11, Townhouses, row house, apartments, or condos of 2-3 stories | SDOH_12, Mix of single-family residences and townhouses, row houses, apartments, or condos | SDOH_13, Apartments or condos of 4-12 stories | SDOH_14, Apartments or condos of more than 12 stories | PMI_DontKnow, Don't know/Not sure",,,,,,,,,,
Basics,,disability_errandsalone,the_basics,,radio,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting doctor's office or shopping?","ErrandsAlone_Yes, Yes | ErrandsAlone_No, No | ErrandsAlone_PreferNotToAnswer, Prefer not to answer",,,,,,,,,,
